            t_name  size  covered        sum     mean0      mean
                            OLS Regression Results                            
==============================================================================
Dep. Variable:                      y   R-squared:                       0.013
Model:                            OLS   Adj. R-squared:                  0.013
Method:                 Least Squares   F-statistic:                     455.3
Date:                Thu, 07 Sep 2017   Prob (F-statistic):          2.25e-100
Time:                        20:48:52   Log-Likelihood:                -68634.
No. Observations:               34718   AIC:                         1.373e+05
Df Residuals:                   34717   BIC:                         1.373e+05
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
x1             0.0022      0.000     21.337      0.000       0.002       0.002
==============================================================================
Omnibus:                     1845.866   Durbin-Watson:                   1.162
Prob(Omnibus):                  0.000   Jarque-Bera (JB):             2155.456
Skew:                           0.609   Prob(JB):                         0.00
Kurtosis:                       2.931   Cond. No.                         1.00
==============================================================================

Warnings:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
